czas,isTof_1,isTof_2,isTof_3,isTof_4,islineS_1_Active,islineS_2_Active,islineS_3_Active,motor1_speed,motor2_speed,imuX,imuY
0,1,0,1,0,1,1,1,99,-50,69.26,-36.59
100,0,0,0,0,0,1,1,-45,7,-76.92,-17.48
200,1,0,0,1,1,1,1,90,11,1.86,-22.10
300,1,0,1,1,1,1,0,-92,-66,79.33,-58.19
400,0,0,0,1,0,1,0,68,31,11.31,73.84
500,1,0,0,1,1,0,1,-73,42,-38.59,-57.08
600,0,1,1,0,0,1,0,56,-80,8.64,-41.76
700,0,1,0,0,1,0,0,-28,-53,-47.16,29.87
800,1,1,0,1,0,1,1,79,-55,-23.20,66.48
900,1,1,1,0,1,0,0,-47,-41,71.90,33.85
1000,1,1,0,1,1,0,0,84,-90,59.96,-63.90
1100,0,1,1,0,1,0,1,-91,-6,39.06,-78.51
1200,1,1,0,0,1,0,1,51,-58,-71.39,-50.84
1300,1,0,0,1,1,1,1,-43,59,-2.12,59.93
1400,0,0,1,0,1,1,0,-78,30,87.31,-93.37
1500,0,0,0,0,1,1,0,58,19,-16.69,98.55
1600,0,1,0,1,1,1,1,-77,-22,-10.39,-92.71
1700,1,1,1,1,0,1,1,-49,-49,-50.77,-1.23
1800,1,0,1,1,1,1,1,36,67,84.61,-2.17
1900,1,0,0,0,0,1,0,10,73,-45.61,45.49
2000,1,1,1,0,1,1,1,-27,-32,-43.54,43.97
2100,0,0,0,0,0,0,1,63,76,-98.15,94.02
2200,1,0,1,1,1,0,0,-14,-63,-14.36,-40.33
2300,0,0,0,1,1,0,1,46,51,-52.75,-58.33
2400,0,1,0,1,0,0,1,14,7,-70.31,31.91
2500,0,0,1,1,1,1,0,96,-34,-10.16,-74.56
2600,1,1,0,0,1,0,1,-96,-80,92.70,75.67
2700,0,0,1,1,1,1,0,67,-68,68.38,-26.78
2800,0,1,0,1,1,1,1,21,64,-87.71,-23.16
2900,0,0,1,0,0,1,1,48,7,16.61,-37.12
3000,1,1,0,1,1,1,0,93,89,2.79,96.99
3100,1,1,1,0,1,1,1,-86,36,-5.32,-70.11
3200,0,0,1,0,1,0,0,-93,48,-37.52,-74.09
3300,0,1,1,1,1,0,1,99,-98,99.41,-40.18
3400,1,0,1,1,1,0,1,65,-95,-80.76,42.78
3500,1,1,1,1,1,1,1,-4,55,68.90,13.88
3600,0,1,1,0,1,1,1,-80,4,97.14,-53.06
3700,0,0,0,1,1,1,1,-63,96,87.36,26.32
3800,1,1,1,1,0,0,1,85,-99,19.49,-45.07
3900,0,0,1,1,1,1,1,-100,-58,43.53,38.45
4000,1,0,0,1,1,0,0,-61,15,74.62,-3.96
4100,1,0,1,0,0,1,0,-64,-78,56.38,64.84
4200,1,0,0,1,1,1,1,4,37,31.71,24.25
4300,0,1,0,1,1,0,0,15,-4,31.40,42.58
4400,0,0,1,1,1,1,0,65,-80,-0.58,8.54
4500,0,1,0,1,1,0,0,-99,-25,-99.98,-4.75
4600,1,1,0,1,0,0,0,10,58,-63.71,5.70
4700,1,1,1,0,0,1,0,-47,32,82.60,4.83
4800,1,1,1,1,0,1,0,-59,74,-0.86,37.34
4900,1,0,0,0,1,1,1,-48,-52,-21.59,79.12
5000,1,1,0,1,1,1,0,-51,88,30.88,75.59
5100,0,1,0,1,0,1,1,-10,-43,-69.13,35.95
5200,0,0,1,0,1,0,0,43,-77,28.80,-80.89
5300,1,1,1,1,0,0,0,-98,86,8.50,19.54
5400,1,0,0,0,1,1,1,38,-29,-10.82,-19.82
5500,0,1,1,0,1,0,1,10,40,89.20,17.26
5600,1,1,1,0,0,1,0,18,37,14.10,-66.40
5700,0,1,1,0,0,0,0,-86,33,49.08,-83.45
5800,1,0,0,1,1,1,0,-24,44,-65.09,-48.38
5900,0,1,1,0,1,1,1,99,34,91.72,-34.48
6000,0,0,0,0,1,0,0,79,93,-88.08,93.49
6100,1,0,1,1,0,0,0,-69,78,-76.19,63.73
6200,1,0,0,1,1,1,1,-97,-1,-92.13,-24.69
6300,0,0,1,0,0,1,0,82,81,-81.59,48.66
6400,1,0,0,1,1,1,0,-61,-31,55.32,-91.15
6500,1,0,0,1,1,0,1,-77,77,-68.69,36.79
6600,0,1,0,1,0,0,1,67,47,-76.92,7.67
6700,0,0,0,1,1,1,0,-39,76,94.85,69.14
6800,0,0,1,1,1,0,1,-99,-64,72.65,-89.61
6900,1,1,0,0,0,1,0,34,-65,58.89,72.33
7000,1,0,0,1,0,1,0,-35,92,-70.87,66.95
7100,1,0,1,0,0,1,1,-98,51,-45.65,97.03
7200,0,0,0,1,1,1,0,77,50,-74.14,-11.97
7300,0,1,0,1,0,1,0,96,7,59.00,-25.80
7400,0,0,0,1,1,1,0,-95,-17,-51.54,40.34
7500,1,1,0,0,1,0,1,21,-36,-9.17,-56.53
7600,0,1,0,1,1,0,1,-65,-44,-61.71,85.80
7700,0,0,0,1,1,0,0,-39,-35,6.15,-41.62
7800,0,0,0,0,1,0,0,49,20,-13.18,-37.41
7900,1,1,1,1,1,0,0,-2,-19,-41.36,28.81
8000,0,1,0,1,1,1,0,76,88,-99.03,-96.15
8100,1,0,1,1,0,1,1,11,88,4.39,-27.37
8200,1,0,1,1,1,0,0,-46,-76,80.32,-15.73
8300,1,0,0,1,1,1,1,-66,85,38.69,49.28
8400,1,1,0,1,0,0,0,-95,-32,-8.07,58.20
8500,0,1,1,0,0,1,1,52,71,72.67,-48.52
8600,1,0,0,1,1,1,1,69,-98,-88.85,53.99
8700,1,1,0,0,0,0,1,73,-94,52.21,-86.79
8800,0,0,1,0,1,0,1,16,55,26.77,89.69
8900,1,0,0,0,0,1,0,95,-75,52.92,-9.91
9000,1,1,0,1,1,0,1,25,10,56.80,37.46
9100,1,0,0,0,0,0,1,10,-71,15.86,10.73
9200,1,1,1,0,1,1,0,-6,-45,76.63,-22.60
9300,0,1,1,1,1,1,1,-93,-5,-96.47,28.11
9400,1,1,0,1,0,0,0,63,80,-71.71,3.64
9500,0,1,0,0,1,1,1,59,95,-68.12,2.90
9600,0,1,1,1,0,0,1,6,27,-85.40,88.86
9700,1,1,1,1,1,1,0,-20,-35,-37.12,-20.26
9800,1,0,1,1,1,1,1,96,-64,81.50,29.93
9900,0,1,1,1,1,0,0,-45,86,-47.27,86.27
