czas,isTof_1,isTof_2,isTof_3,isTof_4,islineS_1_Active,islineS_2_Active,islineS_3_Active,motor1_speed,motor2_speed,imuX,imuY
0,1,0,1,0,0,1,0,-51,64,86.61,78.29
30,1,1,1,0,0,1,0,-80,13,-21.70,-6.62
60,0,0,1,0,0,0,0,-69,-19,-45.29,-11.30
90,0,1,0,1,1,0,1,-85,-32,-40.28,64.59
120,0,1,1,1,0,0,0,-4,34,82.28,26.66
150,0,0,1,0,1,0,0,94,-34,-78.57,49.07
180,0,0,1,0,1,1,1,-32,-95,70.83,77.90
210,1,1,0,0,1,1,1,-44,-30,-55.33,53.45
240,0,0,0,1,1,1,0,84,-87,-78.64,-99.66
270,1,0,1,0,1,0,0,-76,94,66.37,-96.71
300,1,1,0,0,0,0,0,-12,-46,0.95,13.42
330,0,1,1,0,0,0,1,75,-53,-36.89,-69.28
360,0,0,0,1,0,1,1,-81,100,50.27,70.25
390,1,0,0,0,0,1,1,-91,-72,-94.57,15.90
420,0,0,0,0,1,0,0,-77,73,-36.87,1.57
450,1,0,0,0,1,0,1,63,34,10.72,-28.28
480,1,1,1,0,1,1,0,78,-91,-84.77,83.20
510,1,0,0,0,0,0,1,-89,-7,-88.43,-23.60
540,0,1,0,1,1,0,0,16,25,72.35,60.94
570,0,1,1,1,0,1,1,-65,-68,86.70,-78.04
600,0,1,1,1,1,1,0,59,8,-82.05,-45.93
630,1,0,0,0,1,1,1,-24,46,-87.86,-73.70
660,1,0,1,1,1,0,1,-15,-50,-34.16,55.52
690,1,0,0,0,0,1,0,-100,-95,-1.19,-95.29
720,0,0,0,0,1,1,0,81,-91,-73.03,72.45
750,1,1,1,0,0,1,1,8,-79,-55.80,78.81
780,0,0,1,1,0,1,0,16,92,41.88,-11.64
810,1,1,0,0,0,1,0,48,-63,-52.15,98.70
840,1,0,1,1,1,1,1,36,66,5.41,80.85
870,0,0,0,0,1,0,1,75,-21,-52.63,-41.89
900,0,0,0,0,1,0,1,74,85,-68.42,-88.23
930,1,1,0,1,0,0,0,-26,14,45.39,93.55
960,0,0,1,1,1,1,1,28,40,46.52,98.61
990,1,0,1,0,0,0,1,21,-43,-60.01,-79.09
1020,1,0,0,1,1,1,0,-65,-45,-74.09,-28.98
1050,0,1,1,1,1,0,1,-78,-45,-55.66,93.99
1080,0,1,1,0,1,1,1,41,-12,24.76,-36.86
1110,0,1,1,0,0,1,1,38,63,-14.26,-89.18
1140,0,0,0,1,0,0,1,-33,-29,0.52,-16.58
1170,1,0,1,0,1,1,0,61,3,9.05,84.36
1200,1,1,1,1,1,1,1,-85,-42,91.07,-70.76
1230,1,0,0,1,0,1,0,-62,89,62.71,-76.40
1260,1,1,1,1,1,1,0,-60,-54,-83.30,-58.32
1290,0,0,1,0,0,1,0,81,48,89.67,64.83
1320,0,0,1,0,0,1,0,35,69,71.02,0.71
1350,1,1,1,1,0,0,1,82,87,-13.57,54.86
1380,0,0,0,0,0,1,0,79,-23,-63.13,70.09
1410,1,0,1,0,0,0,0,-98,56,39.28,16.80
1440,1,0,0,0,1,1,1,20,-4,-5.00,-13.11
1470,0,1,1,0,0,0,1,-94,98,77.39,77.13
1500,1,1,0,0,1,1,1,-87,57,-6.21,16.44
1530,0,1,0,0,0,1,0,68,47,-35.87,-36.43
1560,0,1,1,0,0,0,1,53,38,-87.56,-51.56
1590,1,1,1,1,1,0,1,15,70,-9.64,23.70
1620,1,0,1,1,0,1,0,-99,50,61.68,65.51
1650,1,1,0,1,1,1,0,74,2,45.94,0.03
1680,1,0,0,1,0,0,0,95,-18,-40.36,69.95
1710,1,1,0,0,1,0,1,-37,22,-53.69,-1.95
1740,1,1,0,0,0,0,0,-43,-20,-89.86,2.63
1770,1,1,1,0,0,1,0,82,-49,-93.52,18.55
1800,1,0,1,0,0,0,1,41,49,69.64,60.37
1830,0,1,1,0,0,1,0,27,-24,49.19,72.22
1860,0,1,0,0,0,0,1,19,66,-68.24,53.16
1890,1,1,1,0,1,0,0,89,98,84.20,35.92
1920,1,1,0,0,0,0,1,47,45,-66.89,-70.20
1950,1,1,1,1,0,1,1,-56,57,-55.01,58.96
1980,0,0,0,0,0,0,1,-42,81,-81.70,16.09
2010,1,0,1,1,0,0,1,58,92,-30.88,97.95
2040,0,0,1,1,0,0,0,66,89,-83.02,-89.39
2070,0,1,1,0,0,1,1,50,66,71.05,-68.36
2100,1,1,1,1,1,0,1,42,93,38.62,-57.82
2130,0,0,0,0,0,1,0,-46,-49,82.78,4.54
2160,0,1,0,0,0,1,0,58,-96,90.98,83.28
2190,1,0,0,1,1,0,1,-53,9,-57.50,24.43
2220,1,0,1,1,1,1,0,45,-32,-83.87,61.90
2250,1,0,1,1,0,1,0,14,-58,-76.57,-2.32
2280,1,0,1,0,0,1,1,33,-52,99.61,-35.13
2310,0,1,0,1,1,0,0,-9,92,0.08,-73.75
2340,1,0,0,0,1,1,0,-78,-87,-41.99,81.58
2370,1,0,1,0,1,1,0,-44,-19,-96.18,86.15
2400,1,0,0,0,1,1,1,-82,74,-72.82,10.28
2430,0,0,1,0,1,1,1,-69,-50,-30.04,-93.56
2460,1,1,0,1,0,1,1,-34,-28,-40.74,31.42
2490,0,0,1,1,0,1,1,7,98,-28.53,-8.87
2520,0,1,1,1,0,1,1,25,44,-81.06,-75.91
2550,1,0,1,1,1,1,1,-36,-13,-78.68,-24.41
2580,0,0,0,0,1,1,0,-6,-23,-51.56,-33.90
2610,0,1,1,0,1,0,1,-29,92,9.21,-41.29
2640,0,0,1,1,0,0,0,-2,42,80.70,-61.98
2670,0,1,1,0,1,0,0,-57,47,-5.12,25.76
2700,1,0,1,1,0,1,1,-4,43,5.64,86.11
2730,0,1,1,0,1,1,1,18,-22,-93.13,-91.63
2760,1,0,1,1,0,1,0,53,-31,-90.64,-67.25
2790,1,1,0,0,0,1,1,-87,14,31.97,-4.99
2820,0,0,0,0,1,0,1,21,76,31.96,51.93
2850,1,0,0,0,1,1,1,-13,54,-48.04,-46.04
