czas,isTof_1,isTof_2,isTof_3,isTof_4,islineS_1_Active,islineS_2_Active,islineS_3_Active,motor1_speed,motor2_speed,imuX,imuY
0,0,0,1,1,1,0,0,53,-29,-30.83,-86.32
1000,0,1,0,1,0,0,0,-85,-83,-76.28,-28.93
2000,0,1,0,1,1,0,1,60,-82,72.13,35.30
3000,0,0,0,1,1,0,0,67,-33,18.30,68.07
4000,0,1,0,1,0,1,1,18,63,63.54,82.13
5000,0,1,1,1,0,0,1,-77,18,45.69,-92.26
6000,0,1,1,1,1,0,1,-48,93,81.31,81.33
7000,1,1,0,0,1,1,0,36,23,-95.86,89.20
8000,0,1,1,0,0,0,1,80,-43,5.19,-80.70
9000,1,0,1,0,1,0,1,-8,-68,-8.99,-9.45
10000,1,0,0,0,1,0,1,-97,25,31.77,-61.33
11000,1,0,1,1,1,1,1,80,96,-33.40,-63.65
12000,0,1,1,0,0,0,0,79,-50,18.92,57.41
13000,1,1,0,0,1,0,0,62,-72,88.45,-59.42
14000,0,0,1,1,1,0,0,-49,1,-9.58,84.84
15000,1,1,0,1,0,1,1,25,-7,-34.96,8.41
16000,1,0,1,0,1,0,0,-15,65,3.08,13.10
17000,0,1,0,1,0,1,0,-65,-55,67.06,-78.04
18000,1,0,0,0,0,1,0,-10,81,-90.59,-69.24
19000,0,1,1,0,1,0,0,30,34,-65.00,-90.41
20000,0,0,0,0,1,1,1,6,-22,47.57,53.73
21000,1,1,1,1,1,0,0,-34,36,25.70,-84.03
22000,0,0,1,0,1,0,0,-77,-71,-60.28,93.92
23000,0,0,0,1,1,1,0,19,-69,62.25,25.22
24000,1,0,0,0,0,0,0,31,-29,72.56,-15.74
25000,0,1,0,1,0,1,0,-29,43,82.36,-54.58
26000,1,0,1,1,0,1,1,74,-74,86.06,-91.02
27000,1,1,1,1,1,1,0,-72,61,-10.55,-43.47
28000,0,0,0,0,1,1,1,-16,25,-9.94,-81.96
29000,1,1,1,1,1,0,1,-55,-98,44.98,42.88
30000,0,1,1,0,0,1,0,58,74,90.97,72.09
31000,0,1,0,0,1,0,0,26,-37,57.67,77.93
32000,0,1,1,1,1,1,1,-8,28,47.97,86.12
33000,0,0,0,1,0,0,1,-52,-62,30.04,-98.70
34000,0,1,0,0,0,0,0,-32,97,-84.27,-97.92
35000,0,1,1,0,1,0,0,76,55,-71.66,-28.22
36000,1,0,0,0,0,0,0,-69,-44,-80.91,-89.94
37000,0,1,0,0,1,1,0,-39,6,33.39,-37.38
38000,0,1,1,1,0,0,1,-45,72,84.52,-17.24
39000,0,1,0,0,0,1,0,-41,8,-60.55,-36.62
40000,1,0,0,0,1,1,0,19,2,73.48,99.23
41000,0,0,0,1,0,1,1,7,70,3.98,-2.32
42000,0,1,1,0,1,1,1,-68,34,41.33,19.49
43000,0,1,1,1,1,0,0,72,79,-9.79,83.68
44000,0,0,0,1,1,1,1,-46,-94,91.70,65.17
45000,1,1,0,0,0,1,1,-59,-65,15.67,-53.30
46000,1,0,1,1,1,0,0,-67,67,11.88,5.71
47000,1,1,0,1,0,1,0,90,-9,-88.79,-66.35
48000,1,0,0,1,1,1,1,-21,-17,-16.79,-49.47
49000,0,1,0,0,1,0,1,20,-32,-29.44,-10.55
50000,0,0,0,1,1,1,0,68,-1,87.20,77.98
51000,0,0,0,1,0,1,1,-41,6,76.32,72.82
52000,0,1,1,0,1,1,1,79,-77,-69.67,-47.69
53000,0,0,0,1,1,1,1,41,25,35.41,-77.44
54000,0,1,0,0,1,0,1,-46,-11,-52.11,61.53
55000,1,1,0,1,0,0,1,72,19,-19.82,46.68
56000,1,0,0,1,1,1,1,-9,-85,-34.11,-36.76
57000,0,0,1,1,1,0,1,-2,16,-49.76,-30.30
58000,0,1,1,1,0,1,1,-34,-32,54.41,-85.17
59000,0,0,0,0,1,1,1,55,-7,13.41,14.37
60000,0,1,0,1,1,0,0,-8,-31,-39.13,-81.13
61000,1,1,0,0,0,1,1,25,27,-24.78,-23.72
62000,0,0,1,0,0,0,1,81,45,-56.92,-35.50
