czas,isTof_1,isTof_2,isTof_3,isTof_4,islineS_1_Active,islineS_2_Active,islineS_3_Active,motor1_speed,motor2_speed,imuX,imuY
0,1,0,1,1,0,1,0,71,-54,30.15,30.15
100,0,1,0,0,0,1,0,65,46,40,-15
200,1,0,0,1,0,1,1,46,36,0.2,20.5
300,0,0,0,1,1,0,0,28,96,50,30
400,0,0,1,0,1,1,1,35,75,60,4
500,1,1,1,0,1,0,0,98,-10,80,12
600,1,1,1,1,1,0,1,80,17,-10,5
700,0,0,1,0,1,0,1,9,42,-20,-23
800,1,0,0,1,1,0,1,15,19,60,-50
900,1,0,1,1,1,0,0,95,7,50,-53
1000,1,1,1,0,1,0,1,56,58,20,-60
1100,0,1,0,0,0,0,1,33,35,2,-100
1200,0,0,1,1,0,1,1,48,-15,3,-90
1300,1,0,0,1,0,0,1,66,-10,34,-10
1400,1,1,0,0,0,1,0,8,-16,65,10
1500,1,0,1,0,1,1,1,92,-30,3,20
1600,1,0,1,1,1,0,1,30,51,5,30
1700,0,1,0,0,0,1,0,5,76,8,40
1800,1,1,0,1,1,0,0,20,54,33,50
1900,1,0,1,1,0,0,1,28,53,22,60
2000,0,1,2,0,1,0,1,72,-53,31.15,31.15
2100,0,2,1,1,1,0,1,66,47,41,-14
2200,0,1,1,0,1,0,0,47,37,1.2,21.5
2300,1,1,1,0,0,1,1,29,97,51,31
2400,1,1,0,1,0,0,0,36,76,61,5
2500,0,0,0,1,0,1,1,99,-9,81,13
2600,0,0,0,0,0,1,0,81,18,-9,6
2700,1,1,2,1,0,1,0,10,43,-19,-22
2800,0,1,1,0,0,1,0,16,20,61,-49
2900,0,1,0,0,0,1,1,96,8,51,-52
3000,0,0,0,1,0,1,0,57,59,21,-59
3100,1,0,1,1,1,1,0,34,36,3,-99
3200,1,1,0,0,1,0,0,49,-14,4,-89
